Gare,lat,lon
AIX EN PROVENCE TGV,43.45560707332255,5.31686462813371
ANGERS SAINT LAUD,47.46454950110863,-0.5545489967556229
ANGOULEME,45.65405544995057,0.16722021406212373
ANNECY,45.90211616587294,6.121499549515836
ARRAS,50.287405507850636,2.7816320987424787
AVIGNON TGV,43.92179554164013,4.785810880304476
BARCELONA,41.37935535643478,2.1401488514730045
BELLEGARDE (AIN),46.11071338101203,5.825996498603863
BESANCON FRANCHE COMTE TGV,47.30781358048908,5.953256431163
BORDEAUX ST JEAN,44.82608207540944,-0.555916803125576
BREST,48.3879469569578,-4.478338375866745
CHAMBERY CHALLES LES EAUX,45.571516138241876,5.920293419688866
DIJON VILLE,47.323238248386325,5.027298952705729
DOUAI,50.37191986503444,3.0896381532482873
DUNKERQUE,51.03076940755978,2.368974821998587
FRANCFORT,50.10781479099792,8.664722473089881
GENEVE,46.20984395909112,6.142885489435998
GRENOBLE,45.191050958863116,5.715280572559937
ITALIE,45.48735888848042,9.20624357071105
LA ROCHELLE VILLE,46.153399381652804,-1.1462950517337407
LAUSANNE,46.517521730441715,6.628334123067053
LAVAL,48.077068604096745,-0.760043871111098
LE CREUSOT MONTCEAU MONTCHANIN,46.80755907548711,4.429486243874971
LE MANS,47.995741872492815,0.19391376886216488
LILLE,50.63600591260771,3.072141853466345
LYON PART DIEU,45.76042435015567,4.861630784808391
MACON LOCHE,46.28242256308836,4.779550367458983
MADRID,40.40400876971474,-3.688339880533781
MARNE LA VALLEE,48.871497791797744,2.7828856977484167
MARSEILLE ST CHARLES,43.30351397296269,5.381987960404608
METZ,49.10940669365943,6.177983282832477
MONTPELLIER,43.6046655143144,3.8808867823554993
MULHOUSE VILLE,47.742112156866646,7.342904837355437
NANCY,48.68996886691824,6.173768783214741
NANTES,47.21683621748136,-1.5428721816108995
NICE VILLE,43.70453942009525,7.261531282075268
NIMES,43.83211633342022,4.366320395050763
PARIS EST,48.87766838591578,2.360495988998246
PARIS LYON,48.844046082804454,2.3760456339005667
PARIS MONTPARNASSE,48.840322753152236,2.319842245312204
PARIS NORD,48.88106106957167,2.356728054946651
PARIS VAUGIRARD,48.8378722670896,2.315397906560351
PERPIGNAN,42.69571884253116,2.8798884021682154
POITIERS,46.583545125685745,0.3342306884532914
QUIMPER,47.99440115174171,-4.090541954426734
REIMS,49.2599704779063,4.025230455919965
RENNES,48.10348328455989,-1.669957343333419
SAINT ETIENNE CHATEAUCREUX,45.44389321137635,4.401246251119924
ST MALO,48.64629764981418,-2.002798215795614
ST PIERRE DES CORPS,47.38459061302885,0.726665018133203
STRASBOURG,48.584603268466026,7.733207072599919
STUTTGART,48.78561904947108,9.183434168378367
TOULON,43.12841171507283,5.930177923304408
TOULOUSE MATABIAU,43.611788810253415,1.4544656135910752
TOURCOING,50.71611566181267,3.166323059910958
TOURS,47.389107143097895,0.6949492074932834
VALENCE ALIXAN TGV,44.99142819149041,4.9799471020286585
VANNES,47.66567381634735,-2.751018700453394
ZURICH,47.3779957276393,8.539513384217344
